City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,nkan,0.3833,9.7833,26.87,93,77,0.71,GA,1681422199
272,sorland,67.667,12.6934,5.92,78,18,8.94,NO,1681422200
273,sobolevo,54.4299,31.8996,10.1,62,100,6.87,RU,1681422200
274,fort nelson,58.8053,-122.7002,8.77,31,75,0.0,CA,1681422200
275,saint-augustin,51.226,-58.6502,3.99,85,100,4.94,CA,1681422200
276,alofi,-19.0595,-169.9187,27.94,74,75,6.69,NU,1681422201
277,iquitos,-3.7481,-73.2472,29.02,74,75,1.03,PE,1681422105
278,nurota,40.5614,65.6886,26.25,17,100,7.49,UZ,1681422203
279,caravelas,-17.7125,-39.2481,24.29,89,33,2.08,BR,1681422203
280,duncan,34.5023,-97.9578,27.12,38,40,5.66,US,1681422203
281,barra do garcas,-15.89,-52.2567,28.32,74,75,0.0,BR,1681422204
282,bandarbeyla,9.4942,50.8122,27.95,77,54,3.44,SO,1681422204
283,khandbari,27.3747,87.2039,18.99,28,1,1.98,NP,1681422205
284,filadelfia,39.9523,-75.1638,31.09,27,0,6.17,US,1681421915
285,mwaro,-3.5,29.6667,14.53,90,100,1.22,BI,1681422206
286,longyearbyen,78.2186,15.6401,-0.09,86,75,1.54,SJ,1681421916
287,srivardhan,18.0333,73.0167,29.26,53,100,2.49,IN,1681422206
288,luwuk,-0.9516,122.7875,24.76,94,100,1.71,ID,1681422207
289,broome,42.2506,-75.833,30.21,23,0,3.09,US,1681422207
290,verkhnetulomskiy,68.6073,31.7962,-4.93,93,19,2.06,RU,1681422209
291,kidal,18.4411,1.4078,31.51,10,97,4.85,ML,1681422210
292,esfarayen,37.0765,57.5101,11.81,40,98,4.49,IR,1681422210
293,yarada,17.65,83.2667,28.49,68,0,3.03,IN,1681422210
294,diffa,13.3154,12.6113,27.42,13,21,4.22,NE,1681422211
295,sao joao da barra,-21.6403,-41.0511,27.05,90,12,4.59,BR,1681422212
296,aklavik,68.2191,-135.0107,-16.0,60,40,3.6,CA,1681422213
297,faya,18.3851,42.4509,17.06,63,0,1.25,SA,1681422214
298,kloulklubed,7.0419,134.2556,25.28,77,37,5.29,PW,1681422214
299,oranjemund,-28.55,16.4333,14.7,90,100,3.44,NA,1681422214
300,linxia,35.6003,103.2064,4.99,76,99,1.65,CN,1681422215
301,kiunga,-6.1219,141.2906,24.38,87,80,0.66,PG,1681422215
302,banff,51.1762,-115.5698,4.57,38,87,2.06,CA,1681422216
303,akureyri,65.6835,-18.0878,6.96,65,75,0.51,IS,1681422217
304,baker city,44.7749,-117.8344,7.55,39,100,2.57,US,1681422180
305,calama,-22.4667,-68.9333,22.27,15,0,10.29,CL,1681421372
306,sahbuz,39.4072,45.5739,8.78,74,99,1.7,AZ,1681422217
307,virginia beach,36.8529,-75.978,31.03,36,0,3.6,US,1681422099
308,tucupita,9.0622,-62.051,29.54,48,89,2.64,VE,1681422218
309,marystown,47.1666,-55.1483,3.82,82,42,2.27,CA,1681422062
310,prata,-19.3072,-48.9242,22.45,84,42,1.3,BR,1681422218
311,padang,-0.9492,100.3543,24.03,89,80,1.31,ID,1681422219
312,wonthaggi,-38.6044,145.5913,11.57,85,3,4.55,AU,1681422219
313,muyezerskiy,63.9333,31.65,-11.03,96,15,2.04,RU,1681422219
314,seoul,37.5683,126.9778,10.78,65,0,2.06,KR,1681422000
315,sile,41.1754,29.6133,12.37,58,4,0.89,TR,1681422220
316,korla,41.7597,86.1469,10.69,41,8,3.25,CN,1681422220
317,husavik,66.0449,-17.3389,1.93,90,96,1.89,IS,1681422220
318,flinders,-34.5833,150.8552,16.77,89,46,4.02,AU,1681422221
319,vila franca do campo,37.7167,-25.4333,16.23,89,59,2.3,PT,1681422221
320,turukhansk,65.8167,87.9833,-23.17,100,100,2.31,RU,1681422221
321,bang saphan,11.2126,99.5117,23.83,94,55,2.37,TH,1681422221
322,houston,29.7633,-95.3633,28.01,45,75,2.06,US,1681421841
323,shimoda,34.6667,138.95,14.5,74,100,4.92,JP,1681422222
324,panjab,34.388,67.0233,7.1,37,0,1.17,AF,1681422222
325,hay river,60.8156,-115.7999,-1.02,80,20,6.17,CA,1681422222
326,tucurui,-3.7661,-49.6725,24.58,93,69,1.43,BR,1681422222
327,dinghai,26.2847,119.7936,16.51,93,84,2.44,CN,1681422222
328,itoman,26.1247,127.6694,22.43,96,40,4.63,JP,1681422167
329,palu,-0.8917,119.8707,24.8,93,100,1.39,ID,1681422223
330,santa cruz,-17.8,-63.1667,25.12,82,26,3.51,BO,1681422224
331,les cayes,18.2,-73.75,27.12,70,53,3.64,HT,1681422225
332,domodossola,46.1165,8.2931,10.01,71,100,3.71,IT,1681422225
333,dubbo,-32.25,148.6167,13.07,88,0,4.12,AU,1681422225
334,mittagong,-34.45,150.45,12.78,96,71,2.27,AU,1681422225
335,port-gentil,-0.7193,8.7815,26.98,94,20,1.54,GA,1681422225
336,douentza,14.9951,-2.9517,31.14,15,100,2.77,ML,1681422226
337,biak,-0.9131,122.8766,23.74,93,100,2.86,ID,1681422227
338,hamilton,39.1834,-84.5333,27.78,26,0,4.63,US,1681422041
